run_accession	sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR7959190	SAMN10171063	SRX4792844	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/000/SRR7959190/SRR7959190.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/000/SRR7959190	
SRR7959192	SAMN10171061	SRX4792846	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/002/SRR7959192/SRR7959192.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/002/SRR7959192	
SRR7959196	SAMN10171057	SRX4792850	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/006/SRR7959196/SRR7959196.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/006/SRR7959196	
SRR7959199	SAMN10171054	SRX4792853	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/009/SRR7959199/SRR7959199.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/009/SRR7959199	
SRR7959202	SAMN10171051	SRX4792856	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/002/SRR7959202/SRR7959202.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/002/SRR7959202	
SRR7959203	SAMN10171050	SRX4792857	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/003/SRR7959203/SRR7959203.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/003/SRR7959203	
SRR7959206	SAMN10171047	SRX4792860	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/006/SRR7959206/SRR7959206.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/006/SRR7959206	
SRR7959207	SAMN10171046	SRX4792861	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/007/SRR7959207/SRR7959207.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/007/SRR7959207	
SRR7959210	SAMN10171043	SRX4792864	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/000/SRR7959210/SRR7959210.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/000/SRR7959210	
SRR7959213	SAMN10171039	SRX4792867	PRJNA494527	SRA788406	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/003/SRR7959213/SRR7959213.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR795/003/SRR7959213	
